,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
10,Hithadhoo,MV,83.91,light rain,-0.6,73.08,Scoop Guest House
34,Albany,US,84.0,light rain,42.6,-73.97,
50,Alappuzha,IN,82.98,light rain,9.49,76.33,Ramada by Wyndham Alleppey
60,Nautla,MX,84.83,moderate rain,20.22,-96.78,Casa Blanca
69,Mahina,PF,77.0,light rain,-17.51,-149.49,Guest Beach Bungalow Tahiti
98,Lastoursville,GA,79.74,light rain,-0.81,12.73,Auberge Bon Coin 02
104,Tabou,CI,82.94,light rain,4.42,-7.35,hotêl doufoulougou
108,Kampong Chhnang,KH,79.7,light rain,12.17,104.55,រមណីយដ្ឋាន ទឹកធ្លាក់ស្រែអំពិល
125,Hambantota,LK,81.46,moderate rain,6.12,81.12,Bungalow 63
134,Bengkulu,ID,78.75,light rain,-3.8,102.27,Grage Hotel Bengkulu
164,Mattru,SL,81.91,light rain,7.62,-11.83,Boima Gbondo's Compound
215,Kavaratti,IN,83.66,light rain,10.57,72.64,Bismillah Hotel And Lodging
235,Butaritari,KI,82.6,moderate rain,3.07,172.79,Isles Sunset Lodge
236,Kirakira,SB,79.3,moderate rain,-10.45,161.92,SanBiz Lodge
248,Thinadhoo,MV,83.7,light rain,0.53,72.93,
252,San Policarpo,PH,82.74,light rain,12.18,125.51,Zal-Ann Beach Resort
260,Dhidhdhoo,MV,81.3,moderate rain,6.88,73.1,Dhidhoo beach
285,Victoria,HK,80.01,light rain,22.29,114.16,Mini Hotel Central
299,Bonthe,SL,80.65,light rain,7.53,-12.51,Bonthe Holiday Village
313,Vanimo,PG,78.64,light rain,-2.67,141.3,Vahmoneh Lodge Vanimo
334,Tautira,PF,77.0,light rain,-17.73,-149.15,Pension Oaoa
362,Tual,ID,81.03,light rain,-5.67,132.75,Grand Vilia Hotel
384,Lahan,NP,79.74,light rain,26.73,86.5,Hotel Durbar Pvt. Ltd.
386,Tuy Hoa,VN,79.77,light rain,13.08,109.3,CenDeluxe Hotel Tuy Hoa
394,Broome,US,81.0,light rain,42.25,-75.83,Chenango Valley State Park
406,Hueytamalco,MX,76.46,moderate rain,19.95,-97.27,Auto HOTEL El Mediterráneo
417,Elizabeth City,US,79.0,heavy intensity rain,36.29,-76.25,Hampton Inn Elizabeth City
445,Harper,LR,82.62,moderate rain,4.38,-7.72,Cape View Guest House
450,Mawlaik,MM,76.59,light rain,23.63,94.42,AKZ Guest House
452,Eydhafushi,MV,78.87,moderate rain,5.1,73.07,Soneva Fushi
472,Misantla,MX,81.72,moderate rain,19.93,-96.83,Hotel Hacienda Prom
492,Skeldon,GY,79.23,moderate rain,5.88,-57.13,Rits Hotel
523,Sulangan,PH,84.94,light rain,11.14,123.72,
524,Ugoofaaru,MV,79.2,moderate rain,5.67,73.0,Ungoofaaru Inn
529,Aconibe,GQ,75.83,moderate rain,1.3,10.94,
534,Kudahuvadhoo,MV,83.03,moderate rain,2.67,72.89,Kudahuvadhoo Retreat
